ID	record_id	Criterium	Indicator	Voorwaarde	Waarde	Type	Invoertype	Eenheid
11865_2015-04-29_91E0_vc	11865_2015-04-29	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
11865_2015-04-29_91E0_vc	11865_2015-04-29	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
11865_2015-04-29_91E0_vc	11865_2015-04-29	Structuur	minimum structuurareaal	MSA	0.9521	Decimaal getal	NA	ha
11865_2015-04-29_91E0_vc	11865_2015-04-29	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
124152_2_9120	124152_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
124152_2_9120	124152_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
124152_2_9120	124152_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
124152_2_9120	124152_2	Structuur	minimum structuurareaal	MSA	6.9102	Decimaal getal	NA	ha
124152_2_9120	124152_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
12470_2015-06-11_91E0_vm	12470_2015-06-11	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
12470_2015-06-11_91E0_vm	12470_2015-06-11	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
12470_2015-06-11_91E0_vm	12470_2015-06-11	Structuur	bosconstantie	bosconstantie	41	Geheel getal	NA	NA
12470_2015-06-11_91E0_vm	12470_2015-06-11	Structuur	minimum structuurareaal	MSA	1.2048	Decimaal getal	NA	ha
12470_2015-06-11_91E0_vm	12470_2015-06-11	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
12710_2018-06-22_9120	12710_2018-06-22	Structuur	aandeel dood hout	aandeel dood hout	0.26	Percentage	NA	%
12710_2018-06-22_9120	12710_2018-06-22	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
12710_2018-06-22_9120	12710_2018-06-22	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
12710_2018-06-22_9120	12710_2018-06-22	Structuur	minimum structuurareaal	MSA	3.9252	Decimaal getal	NA	ha
12710_2018-06-22_9120	12710_2018-06-22	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
128016_2_9120	128016_2	Structuur	aandeel dood hout	aandeel dood hout	2.36727811557917	Percentage	NA	%
128016_2_9120	128016_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
128016_2_9120	128016_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
128016_2_9120	128016_2	Structuur	minimum structuurareaal	MSA	2.085	Decimaal getal	NA	ha
128016_2_9120	128016_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
128039_2_9120	128039_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
128039_2_9120	128039_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
128039_2_9120	128039_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
128039_2_9120	NA	Structuur	minimum structuurareaal	MSA	0	Decimaal getal	NA	ha
128039_2_9120	128039_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
128138_2_9120	128138_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
128138_2_9120	128138_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
128138_2_9120	128138_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
128138_2_9120	128138_2	Structuur	minimum structuurareaal	MSA	24.1182	Decimaal getal	NA	ha
128138_2_9120	128138_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
128147_2_9120	128147_2	Structuur	aandeel dood hout	aandeel dood hout	9.45609602361802	Percentage	NA	%
128147_2_9120	128147_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
128147_2_9120	128147_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
128147_2_9120	128147_2	Structuur	minimum structuurareaal	MSA	8.952	Decimaal getal	NA	ha
128147_2_9120	128147_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
131044_2_9120	131044_2	Structuur	aandeel dood hout	aandeel dood hout	1.13417853534531	Percentage	NA	%
131044_2_9120	131044_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
131044_2_9120	131044_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
131044_2_9120	131044_2	Structuur	minimum structuurareaal	MSA	4.2286	Decimaal getal	NA	ha
131044_2_9120	131044_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
131159_2_91E0_vn	131159_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
131159_2_91E0_vn	131159_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
131159_2_91E0_vn	131159_2	Structuur	bosconstantie	bosconstantie	61	Geheel getal	NA	NA
131159_2_91E0_vn	131159_2	Structuur	minimum structuurareaal	MSA	4.0392	Decimaal getal	NA	ha
131159_2_91E0_vn	131159_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
132097_2_9120	132097_2	Structuur	aandeel dood hout	aandeel dood hout	7.99719602345144	Percentage	NA	%
132097_2_9120	132097_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
132097_2_9120	132097_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
132097_2_9120	132097_2	Structuur	minimum structuurareaal	MSA	26.934	Decimaal getal	NA	ha
132097_2_9120	132097_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
132097_3_9120	132097_3	Structuur	aandeel dood hout	aandeel dood hout	3.15613454091952	Percentage	NA	%
132097_3_9120	132097_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
132097_3_9120	132097_3	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
132097_3_9120	132097_3	Structuur	minimum structuurareaal	MSA	26.934	Decimaal getal	NA	ha
132097_3_9120	132097_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	1	Ja/nee	NA	NA
133153_2_91E0_va	133153_2	Structuur	aandeel dood hout	aandeel dood hout	2.91652461420696	Percentage	NA	%
133153_2_91E0_va	133153_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
133153_2_91E0_va	133153_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
133153_2_91E0_va	133153_2	Structuur	minimum structuurareaal	MSA	8.9274	Decimaal getal	NA	ha
133153_2_91E0_va	133153_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	1	Ja/nee	NA	NA
133153_3_91E0_va	133153_3	Structuur	aandeel dood hout	aandeel dood hout	4.93101794499399	Percentage	NA	%
133153_3_91E0_va	133153_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
133153_3_91E0_va	133153_3	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
133153_3_91E0_va	133153_3	Structuur	minimum structuurareaal	MSA	8.9274	Decimaal getal	NA	ha
133153_3_91E0_va	133153_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
134040_2_9120	134040_2	Structuur	aandeel dood hout	aandeel dood hout	6.16021585008294	Percentage	NA	%
134040_2_9120	134040_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
134040_2_9120	134040_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
134040_2_9120	134040_2	Structuur	minimum structuurareaal	MSA	2.1208	Decimaal getal	NA	ha
134040_2_9120	134040_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
134128_2_9120	134128_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
134128_2_9120	134128_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
134128_2_9120	134128_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
134128_2_9120	134128_2	Structuur	minimum structuurareaal	MSA	1.2443	Decimaal getal	NA	ha
134128_2_9120	134128_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
135081_2_9120	135081_2	Structuur	aandeel dood hout	aandeel dood hout	0.0428010002425122	Percentage	NA	%
135081_2_9120	135081_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
135081_2_9120	135081_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
135081_2_9120	135081_2	Structuur	minimum structuurareaal	MSA	22.7078	Decimaal getal	NA	ha
135081_2_9120	135081_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
135082_2_9120	135082_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
135082_2_9120	135082_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
135082_2_9120	135082_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
135082_2_9120	135082_2	Structuur	minimum structuurareaal	MSA	30.3471	Decimaal getal	NA	ha
135082_2_9120	135082_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
135083_2_9120	135083_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
135083_2_9120	135083_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
135083_2_9120	135083_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
135083_2_9120	135083_2	Structuur	minimum structuurareaal	MSA	19.4821	Decimaal getal	NA	ha
135083_2_9120	135083_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
135083_2_91E0_vn	135083_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
135083_2_91E0_vn	135083_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
135083_2_91E0_vn	135083_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
135083_2_91E0_vn	135083_2	Structuur	minimum structuurareaal	MSA	0.8903	Decimaal getal	NA	ha
135083_2_91E0_vn	135083_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
135098_2_9120	135098_2	Structuur	aandeel dood hout	aandeel dood hout	3.30489389433826	Percentage	NA	%
135098_2_9120	135098_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
135098_2_9120	135098_2	Structuur	bosconstantie	bosconstantie	61	Geheel getal	NA	NA
135098_2_9120	135098_2	Structuur	minimum structuurareaal	MSA	30.3471	Decimaal getal	NA	ha
135098_2_9120	135098_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
135099_2_9120	135099_2	Structuur	aandeel dood hout	aandeel dood hout	1.56376772157745	Percentage	NA	%
135099_2_9120	135099_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
135099_2_9120	135099_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
135099_2_9120	135099_2	Structuur	minimum structuurareaal	MSA	18.6177	Decimaal getal	NA	ha
135099_2_9120	135099_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
135102_2_9120	135102_2	Structuur	aandeel dood hout	aandeel dood hout	0.800008767219367	Percentage	NA	%
135102_2_9120	135102_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
135102_2_9120	135102_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
135102_2_9120	135102_2	Structuur	minimum structuurareaal	MSA	3.8349	Decimaal getal	NA	ha
135102_2_9120	135102_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
135132_2_9120	135132_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
135132_2_9120	135132_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
135132_2_9120	135132_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
135132_2_9120	135132_2	Structuur	minimum structuurareaal	MSA	11.8482	Decimaal getal	NA	ha
135132_2_9120	135132_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
136040_2_9120	136040_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
136040_2_9120	136040_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
136040_2_9120	136040_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
136040_2_9120	136040_2	Structuur	minimum structuurareaal	MSA	1.7809	Decimaal getal	NA	ha
136040_2_9120	136040_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
136102_2_9120	136102_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
136102_2_9120	136102_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
136102_2_9120	136102_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
136102_2_9120	136102_2	Structuur	minimum structuurareaal	MSA	2.0294	Decimaal getal	NA	ha
136102_2_9120	136102_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
136113_2_9120	136113_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
136113_2_9120	136113_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
136113_2_9120	136113_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
136113_2_9120	136113_2	Structuur	minimum structuurareaal	MSA	139.1184	Decimaal getal	NA	ha
136113_2_9120	136113_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
136113_3_9120	136113_3	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
136113_3_9120	136113_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
136113_3_9120	136113_3	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
136113_3_9120	136113_3	Structuur	minimum structuurareaal	MSA	139.1184	Decimaal getal	NA	ha
136113_3_9120	136113_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
136114_2_9120	136114_2	Structuur	aandeel dood hout	aandeel dood hout	4.11538503318596	Percentage	NA	%
136114_2_9120	136114_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
136114_2_9120	136114_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
136114_2_9120	136114_2	Structuur	minimum structuurareaal	MSA	139.1184	Decimaal getal	NA	ha
136114_2_9120	136114_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
136121_2_9120	136121_2	Structuur	aandeel dood hout	aandeel dood hout	1.96607815020613	Percentage	NA	%
136121_2_9120	136121_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
136121_2_9120	136121_2	Structuur	bosconstantie	bosconstantie	21	Geheel getal	NA	NA
136121_2_9120	136121_2	Structuur	minimum structuurareaal	MSA	139.1184	Decimaal getal	NA	ha
136121_2_9120	136121_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
136121_2_91E0_vo	136121_2	Structuur	aandeel dood hout	aandeel dood hout	1.96607815020613	Percentage	NA	%
136121_2_91E0_vo	136121_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
136121_2_91E0_vo	136121_2	Structuur	bosconstantie	bosconstantie	21	Geheel getal	NA	NA
136121_2_91E0_vo	136121_2	Structuur	minimum structuurareaal	MSA	0	Decimaal getal	NA	ha
136143_2_9120	136143_2	Structuur	aandeel dood hout	aandeel dood hout	3.55307197044273	Percentage	NA	%
136143_2_9120	136143_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
136143_2_9120	136143_2	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
136143_2_9120	136143_2	Structuur	minimum structuurareaal	MSA	78.6736	Decimaal getal	NA	ha
136143_2_9120	136143_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
136697_2015-05-06_91E0_vc	136697_2015-05-06	Structuur	aandeel dood hout	aandeel dood hout	0.4	Percentage	NA	%
136697_2015-05-06_91E0_vc	136697_2015-05-06	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
136697_2015-05-06_91E0_vc	136697_2015-05-06	Structuur	bosconstantie	bosconstantie	250	Geheel getal	NA	NA
136697_2015-05-06_91E0_vc	136697_2015-05-06	Structuur	minimum structuurareaal	MSA	1.2352	Decimaal getal	NA	ha
136697_2015-05-06_91E0_vc	136697_2015-05-06	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
137010_2_91E0_va	137010_2	Structuur	aandeel dood hout	aandeel dood hout	6.30617499878541	Percentage	NA	%
137010_2_91E0_va	137010_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
137010_2_91E0_va	137010_2	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
137010_2_91E0_va	137010_2	Structuur	minimum structuurareaal	MSA	2.5583	Decimaal getal	NA	ha
137010_2_91E0_va	137010_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	1	Ja/nee	NA	NA
137010_3_91E0_va	137010_3	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
137010_3_91E0_va	NA	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
137010_3_91E0_va	137010_3	Structuur	bosconstantie	bosconstantie	101	Geheel getal	NA	NA
137010_3_91E0_va	137010_3	Structuur	minimum structuurareaal	MSA	2.5583	Decimaal getal	NA	ha
137010_3_91E0_va	137010_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
137011_2_9120	137011_2	Structuur	aandeel dood hout	aandeel dood hout	2.47749193561329	Percentage	NA	%
137011_2_9120	137011_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
137011_2_9120	137011_2	Structuur	bosconstantie	bosconstantie	51	Geheel getal	NA	NA
137011_2_9120	137011_2	Structuur	minimum structuurareaal	MSA	5.538	Decimaal getal	NA	ha
137011_2_9120	137011_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
137011_3_9120	137011_3	Structuur	aandeel dood hout	aandeel dood hout	0.0951851521651344	Percentage	NA	%
137011_3_9120	137011_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
137011_3_9120	137011_3	Structuur	bosconstantie	bosconstantie	51	Geheel getal	NA	NA
137011_3_9120	137011_3	Structuur	minimum structuurareaal	MSA	5.538	Decimaal getal	NA	ha
137011_3_9120	137011_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	1	Ja/nee	NA	NA
137028_2_9120	137028_2	Structuur	aandeel dood hout	aandeel dood hout	3.4291618224298	Percentage	NA	%
137028_2_9120	137028_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
137028_2_9120	137028_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
137028_2_9120	137028_2	Structuur	minimum structuurareaal	MSA	11.5363	Decimaal getal	NA	ha
137028_2_9120	137028_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	1	Ja/nee	NA	NA
137028_3_9120	137028_3	Structuur	aandeel dood hout	aandeel dood hout	33.6264693278531	Percentage	NA	%
137028_3_9120	137028_3	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
137028_3_9120	137028_3	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
137028_3_9120	137028_3	Structuur	minimum structuurareaal	MSA	11.5363	Decimaal getal	NA	ha
137028_3_9120	137028_3	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	0	Ja/nee	NA	NA
137035_2_9120	137035_2	Structuur	aandeel dood hout	aandeel dood hout	0	Percentage	NA	%
137035_2_9120	137035_2	Structuur	hoeveelheid dik dood hout	aantal exemplaren dik dood hout per ha	0	Decimaal getal	NA	NA
137035_2_9120	137035_2	Structuur	bosconstantie	bosconstantie	175	Geheel getal	NA	NA
137035_2_9120	137035_2	Structuur	minimum structuurareaal	MSA	43.6416	Decimaal getal	NA	ha
137035_2_9120	137035_2	Structuur	horizontale structuur - natuurlijke mozaiekstructuur	natuurlijke mozaïekstructuur	1	Ja/nee	NA	NA
