id	type_analysis	status	aggregatiemethode	index_min_min	index_min_harm	index_harm_harm	versie	kwaliteitsniveau
1344438_2017-07-28	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
1350866_2018-07-31	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
136402_2014-09-16	4030	0	RapportageHR	-0.75	-0.55	-0.225806451612903	Versie 3	1
136402_2019-08-23	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
13686_2015-09-10	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
13686_2023-08-28	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
1380278_2018-07-31	2310	1	RapportageHR	-0.5	-0.163934426229508	-0.110890687159762	Versie 3	1
1381302_2018-08-20	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
1402230_2017-07-26	2330_bu	0	RapportageHR	-0.85	-0.701530612244898	-0.53109222889163	Versie 3	1
1405878_2018-08-16	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1405878_2018-08-16	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
1407698_2017-08-03	2330_bu	1	RapportageHR	-0.5	-0.263327948303716	-0.178920928651768	Versie 3	1
141778_2018-08-02	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
1422046_2017-09-05	2330_bu	1	RapportageHR	-1	-1	-1	Versie 3	1
144094_2014-09-03	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
144094_2022-09-14	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
144094_2022-09-14	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
145106_2024-07-08	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
1452338_2024-07-09	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
1454814_2017-09-06	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
147062_2023-09-13	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1471094_2018-07-23	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1473234_2024-07-08	2330_dw	0	RapportageHR	-0.5	-0.307895027377317	-0.268159679480471	Versie 3	1
1479890_2018-08-02	2330_bu	1	RapportageHR	-0.5	-0.103004291845494	-0.0935497431585854	Versie 3	1
148406_2017-08-24	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
1487798_2018-07-25	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
1500534_2017-07-26	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1501490_2017-06-29	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
15070_2015-06-26	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
15070_2023-08-18	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
1512374_2018-08-13	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
151250_2014-09-08	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
151250_2022-09-06	4030	0	RapportageHR	-0.76	-0.513513513513514	-0.191709844559585	Versie 3	1
152534_2023-08-24	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
152786_2014-09-19	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
152786_2022-09-09	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
1536630_2018-07-20	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1536950_2018-08-23	4030	1	RapportageHR	0	0.180851063829787	0.294662488254092	Versie 3	1
1547090_2017-07-13	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
154834_2018-08-01	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1558738_2018-07-24	2330_bu	0	RapportageHR	-0.5	-0.373259052924791	-0.221949221949222	Versie 3	1
156382_2017-09-05	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
156382_2024-06-25	2310	0	RapportageHR	-0.75	-0.526315789473685	-0.192443919716647	Versie 3	1
1565906_2024-06-28	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
1566070_2017-07-26	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1566166_2017-10-17	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
158002_2017-06-30	2310	0	RapportageHR	-0.95	-0.884615384615385	-0.728126874125409	Versie 3	1
158002_2024-07-09	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
1584722_2024-07-03	2330_dw	1	RapportageHR	-1	-1	-1	Versie 3	1
1590198_2017-07-28	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
159314_2017-07-25	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
159314_2024-07-02	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
1594578_2018-08-01	2330_bu	0	RapportageHR	-0.5	-0.376822157434402	-0.189634187092554	Versie 3	1
1599794_2017-06-29	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
1606582_2017-08-22	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
160694_2018-08-14	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
160926_2023-08-18	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
1631606_2017-07-25	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1635038_2017-08-21	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
163538_2018-07-30	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
165586_2018-08-08	4030	0	RapportageHR	-0.75	-0.55	-0.136	Versie 3	1
1659862_2018-10-08	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1684406_2018-08-17	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
168886_2018-08-24	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
169170_2018-08-02	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
170206_2017-09-07	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
170834_2017-07-07	2330_bu	1	RapportageHR	-1	-1	-1	Versie 3	1
170834_2024-07-01	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1708982_2017-08-31	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1709266_2018-07-30	2330_bu	0	RapportageHR	-0.5	-0.256266988825128	-0.13881756648999	Versie 3	1
174302_2023-06-16	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
1743698_2017-07-07	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
174546_2018-08-03	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
175582_2023-06-28	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
175698_2017-07-25	4030	1	RapportageHR	-0.5	-0.210526315789474	0.0294587017468191	Versie 3	1
175698_2024-07-02	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
1762774_2017-08-17	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
176862_2017-09-05	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
177078_2014-09-10	2330_bu	0	RapportageHR	-0.821428571428571	-0.716981132075472	-0.478181263350626	Versie 3	1
177078_2022-10-07	2330_bu	1	RapportageHR	-0.444444444444444	-0.169161676646707	0.100517219961189	Versie 3	1
1775058_2017-07-06	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
1786806_2017-08-28	2330_bu	0	RapportageHR	-0.5	-0.376822157434402	-0.204812823934673	Versie 3	1
1789878_2018-08-07	4010	1	RapportageHR	-1	-1	-1	Versie 3	1
179922_2018-08-01	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
181234_2017-07-03	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
181234_2024-07-03	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
182482_2018-07-25	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
190162_2017-07-27	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
190162_2024-07-05	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
191442_2018-08-06	2310	0	RapportageHR	-0.4	-0.149054505005562	0.0968574550039443	Versie 3	1
191698_2017-07-28	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
191698_2024-06-21	4030	0	RapportageHR	-0.25	0	0.358490566037736	Versie 3	1
191966_2018-09-07	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
193246_2019-08-08	4010	1	RapportageHR	-1	-1	-1	Versie 3	1
194294_2023-08-24	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
194294_2023-08-24	2330_dw	0	RapportageHR	-1	-1	-1	Versie 3	1
196306_2018-08-03	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
199122_2018-08-07	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
200630_2018-07-31	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
20086_2023-09-13	2310	1	RapportageHR	-0.76	-0.4527675045446	-0.0637348294574945	Versie 3	1
20178_2014-09-08	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
20178_2022-09-07	2310	1	RapportageHR	-1	-1	-1	Versie 3	1
20406_2014-09-16	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
20406_2022-10-07	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
205501_2017-08-16	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
206546_2018-08-09	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
207314_2018-08-03	2310	0	RapportageHR	-0.5	-0.235	-0.143601409390675	Versie 3	1
208350_2017-09-07	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
212062_2018-10-10	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
212446_2023-06-28	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
213366_2023-08-30	2330_bu	0	RapportageHR	-0.988888888888889	-0.97029702970297	-0.927434754933164	Versie 3	1
213942_2014-09-05	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
213942_2022-10-13	2310	1	RapportageHR	-1	-1	-1	Versie 3	1
21430_2014-09-09	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
21430_2022-10-07	4030	1	RapportageHR	-1	-1	-1	Versie 3	1
216018_2018-08-02	4010	0	RapportageHR	-1	-1	-1	Versie 3	1
216018_2024-06-21	4010	1	RapportageHR	-1	-1	-1	Versie 3	1
216786_2018-07-30	2310	0	RapportageHR	-1	-1	-1	Versie 3	1
217014_2018-08-07	4030	0	RapportageHR	-1	-1	-1	Versie 3	1
21714_2014-09-19	2330_bu	0	RapportageHR	-1	-1	-1	Versie 3	1
21714_2022-09-09	2330_bu	1	RapportageHR	-1	-1	-1	Versie 3	1
