id	type_analysis	criterium	status_criterium	aggregatiemethode	index_min_criterium	index_harm_criterium	versie	kwaliteitsniveau
12274_2022-08-31	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
12274_2022-08-31	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
12274_2022-08-31	4030	Verstoring	1	RapportageHR	-0.388888888888889	0.134880898194508	Versie 3	1
1234130_2018-08-08	4030	Structuur	1	RapportageHR	0	0	Versie 3	1
1234130_2018-08-08	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1234130_2018-08-08	4030	Verstoring	1	RapportageHR	-0.777777777777778	-0.365079365079365	Versie 3	1
124278_2014-09-23	2310	Structuur	0	RapportageHR	-1	-1	Versie 3	1
124278_2014-09-23	2310	Vegetatie	1	RapportageHR	0	0	Versie 3	1
124278_2014-09-23	2310	Verstoring	0	RapportageHR	-0.583333333333333	-0.159601916697383	Versie 3	1
124278_2022-09-30	2330_bu	Structuur	1	RapportageHR	0.0555555555555555	0.349989458148851	Versie 3	1
124278_2022-09-30	2330_bu	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
124278_2022-09-30	2330_bu	Verstoring	0	RapportageHR	-0.305555555555556	0.227394622842605	Versie 3	1
124278_2022-09-30	2330_dw	Structuur	0	RapportageHR	-0.686188365433648	-0.686188365433648	Versie 3	1
124278_2022-09-30	2330_dw	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
124278_2022-09-30	2330_dw	Verstoring	0	RapportageHR	-0.305555555555556	0.0309278350515465	Versie 3	1
124382_2016-10-12	4010	Structuur	0	RapportageHR	-0.8	-0.8	Versie 3	1
124382_2016-10-12	4010	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
124382_2016-10-12	4010	Verstoring	0	RapportageHR	-0.75	-0.555803571428571	Versie 3	1
1250770_2017-07-06	2330_bu	Structuur	1	RapportageHR	0.305555555555556	0.327405857740586	Versie 3	1
1250770_2017-07-06	2330_bu	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
1250770_2017-07-06	2330_bu	Verstoring	1	RapportageHR	0.5	0.772727272727273	Versie 3	1
125394_2015-06-01	2310	Structuur	0	RapportageHR	-1	-1	Versie 3	1
125394_2015-06-01	2310	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
125394_2015-06-01	2310	Verstoring	0	RapportageHR	-0.75	-0.276190476190476	Versie 3	1
125394_2023-09-07	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
125394_2023-09-07	4030	Vegetatie	1	RapportageHR	0	0	Versie 3	1
125394_2023-09-07	4030	Verstoring	0	RapportageHR	-0.75	-0.276102088167053	Versie 3	1
125998_2016-10-24	4030	Structuur	1	RapportageHR	0	0.25	Versie 3	1
125998_2016-10-24	4030	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
125998_2016-10-24	4030	Verstoring	1	RapportageHR	-0.666666666666667	-0.171210468920392	Versie 3	1
1272114_2017-06-29	2330_dw	Structuur	0	RapportageHR	-0.738464519966011	-0.738464519966011	Versie 3	1
1272114_2017-06-29	2330_dw	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1272114_2017-06-29	2330_dw	Verstoring	0	RapportageHR	-0.166666666666667	0.167664670658683	Versie 3	1
1272114_2023-09-06	2330_dw	Structuur	0	RapportageHR	-0.665267589795892	-0.665267589795892	Versie 3	1
1272114_2023-09-06	2330_dw	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
1272114_2023-09-06	2330_dw	Verstoring	0	RapportageHR	-0.166666666666667	0.158536585365854	Versie 3	1
1274486_2018-07-19	2330_bu	Structuur	0	RapportageHR	-0.95	-0.909090909090909	Versie 3	1
1274486_2018-07-19	2330_bu	Vegetatie	0	RapportageHR	-0.5	-0.5	Versie 3	1
1274486_2018-07-19	2330_bu	Verstoring	0	RapportageHR	-0.821428571428571	-0.647268408551069	Versie 3	1
1274806_2018-08-23	4030	Structuur	0	RapportageHR	-1	-1	Versie 3	1
1274806_2018-08-23	4030	Vegetatie	1	RapportageHR	0.5	0.5	Versie 3	1
1274806_2018-08-23	4030	Verstoring	1	RapportageHR	0.8	0.93141592920354	Versie 3	1
127710_2016-11-16	2310	Structuur	1	RapportageHR	-1	-1	Versie 3	1
127710_2016-11-16	2310	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
127710_2016-11-16	2310	Verstoring	0	RapportageHR	-0.0555555555555555	0.397948325912458	Versie 3	1
127710_2024-06-19	2310	Structuur	0	RapportageHR	-0.9	-0.76923076923077	Versie 3	1
127710_2024-06-19	2310	Vegetatie	0	RapportageHR	-1	-1	Versie 3	1
127710_2024-06-19	2310	Verstoring	1	RapportageHR	0.25	0.729490022172949	Versie 3	1
