plot_id	mon_cycle	date_assessment	segment_id	area_a4_m2	landuse	stand_type	stand_age	mix_type
132818	1	18374	1	785.827	bos	loofhout	21 - 40 jaar	homogeen
132818	1	18374	2	232.058	heide	niet van toepassing	niet van toepassing	niet van toepassing
136697	1	16561	1	1017.888	bos	loofhout	21 - 40 jaar	stamgewijs
137042	1	18765	1	1017.888	bos	loofhout	1 - 20 jaar	stamgewijs
137401	1	16560	1	1017.888	bos	loofhout	21 - 40 jaar	homogeen
139577	1	16563	1	1017.888	bos	loofhout	61 - 80 jaar	homogeen
140006	1	16597	1	1017.888	bos	loofhout	21 - 40 jaar	homogeen
146265	1	16552	1	906.351	bos	loofhout	101 - 120 jaar	stamgewijs
147174	1	16596	1	1017.888	bos	loofhout	21 - 40 jaar	homogeen
155346	1	16590	1	1017.888	bos - kapvlakte	kapvlakte	niet van toepassing	niet van toepassing
159414	1	16604	1	847.006	bos	loofhout	21 - 40 jaar	homogeen
159414	1	16604	2	170.879	bos	naaldhout	61 - 80 jaar	homogeen
163513	1	16562	1	1017.888	bos	loofhout	21 - 40 jaar	stamgewijs
164793	1	16553	1	186.417	bos	loofhout	61 - 80 jaar	stamgewijs
164793	1	16553	2	813.399	bos	loofhout	61 - 80 jaar	stamgewijs
164793	1	16553	3	18.07	akker	niet van toepassing	niet van toepassing	niet van toepassing
165913	1	16932	1	798.932	bos	loofhout	21 - 40 jaar	stamgewijs
187382	1	18779	1	1017.888	bos	loofhout	81 - 100 jaar	stamgewijs
188022	1	16588	1	1017.888	bos	loofhout	21 - 40 jaar	stamgewijs
193206	1	18801	1	1017.888	bos	loofhout	41 - 60 jaar	homogeen
196022	1	17983	1	1017.885	bos	loofhout	21 - 40 jaar	stamgewijs
198137	1	16567	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
201689	1	16820	1	949.208	bos	loofhout	21 - 40 jaar	stamgewijs
201689	1	16820	2	68.677	water (poel, vijver, beek)	niet van toepassing	niet van toepassing	niet van toepassing
205113	1	16566	1	1017.888	bos	loofhout	81 - 100 jaar	stamgewijs
211193	1	16573	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
213138	1	17995	1	1017.885	bos	loofhout	41 - 60 jaar	stamgewijs
219694	1	17666	1	1017.846	bos	loofhout	41 - 60 jaar	stamgewijs
227286	1	18778	1	1017.888	bos	loofhout	101 - 120 jaar	stamgewijs
230930	1	16608	1	1017.888	bos	loofhout	21 - 40 jaar	homogeen
234297	1	16561	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
237970	1	17995	1	1017.885	bos	loofhout	21 - 40 jaar	stamgewijs
248402	1	16603	1	1017.888	infrastructuur (wegen, spoorwegen, kanalen)	niet van toepassing	niet van toepassing	niet van toepassing
253593	1	17269	1	1017.888	bos	loofhout	61 - 80 jaar	stamgewijs
257081	1	16553	1	1017.888	bos	loofhout	21 - 40 jaar	stamgewijs
260082	1	17997	1	1017.885	bos	loofhout	21 - 40 jaar	homogeen
267222	1	18778	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
267513	1	17715	1	1017.846	bos	loofhout	21 - 40 jaar	stamgewijs
270966	1	18766	1	1017.888	bos	loofhout	1 - 20 jaar	stamgewijs
271446	1	18019	1	1017.846	bos	loofhout	41 - 60 jaar	stamgewijs
284729	1	16553	1	1017.888	bos	loofhout	41 - 60 jaar	homogeen
298918	1	17709	1	1017.846	bos	loofhout	21 - 40 jaar	stamgewijs
298937	1	16554	1	442.001	bos	loofhout	21 - 40 jaar	stamgewijs
298937	1	16554	2	258.064	bos	loofhout	81 - 100 jaar	stamgewijs
298937	1	16554	3	317.82	water (poel, vijver, beek)	niet van toepassing	niet van toepassing	niet van toepassing
300534	1	17751	1	1017.846	bos	loofhout	41 - 60 jaar	stamgewijs
302006	1	17988	1	1017.885	bos	loofhout	61 - 80 jaar	stamgewijs
306870	1	18752	1	1017.888	bos	loofhout	81 - 100 jaar	stamgewijs
311602	1	17987	1	773.685	bos	loofhout	41 - 60 jaar	stamgewijs
311602	1	17987	2	244.2	bos	gemengd loofhout	61 - 80 jaar	stamgewijs
313305	1	17976	1	1017.846	bos	loofhout	81 - 100 jaar	homogeen
315062	1	17989	1	1017.885	bos	loofhout	41 - 60 jaar	stamgewijs
320902	1	17717	1	1017.846	bos	loofhout	21 - 40 jaar	stamgewijs
337846	1	18766	1	1017.888	bos	loofhout	21 - 40 jaar	homogeen
346246	1	17708	1	1017.846	bos	loofhout	21 - 40 jaar	stamgewijs
347878	1	18773	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
349433	1	17716	1	1017.846	bos	loofhout	21 - 40 jaar	stamgewijs
349906	1	18765	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
364262	1	18750	1	1017.888	bos	loofhout	21 - 40 jaar	homogeen
364822	1	18774	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
404306	1	18765	1	1017.888	bos	loofhout	41 - 60 jaar	stamgewijs
428057	1	18043	1	1017.846	bos	loofhout	41 - 60 jaar	stamgewijs
431494	1	17707	1	1017.846	bos	loofhout	21 - 40 jaar	homogeen
463833	1	18011	1	1017.846	bos	loofhout	61 - 80 jaar	stamgewijs
466745	1	17680	1	1017.846	bos	loofhout	61 - 80 jaar	stamgewijs
472889	1	17949	1	1017.846	bos	loofhout	61 - 80 jaar	homogeen
516441	1	17687	1	1017.846	bos	loofhout	41 - 60 jaar	homogeen
520582	1	17707	1	1017.846	bos	loofhout	81 - 100 jaar	stamgewijs
527030	1	18752	1	1017.888	bos	loofhout	1 - 20 jaar	homogeen
544086	1	18774	1	1017.888	bos	loofhout	61 - 80 jaar	stamgewijs
552537	1	17668	1	1017.846	bos	gemengd loofhout	61 - 80 jaar	stamgewijs
570886	1	17716	1	1017.846	bos	loofhout	41 - 60 jaar	homogeen
612246	1	18024	1	1017.846	bos	loofhout	61 - 80 jaar	stamgewijs
616665	1	17673	1	1017.846	bos	loofhout	41 - 60 jaar	stamgewijs
642585	1	17941	1	1017.846	bos	loofhout	141 - 160 jaar	stamgewijs
697062	1	18801	1	1017.888	bos	loofhout	21 - 40 jaar	stamgewijs
735033	1	18738	1	1017.888	bos	loofhout	ongelijkjarig	stamgewijs
738265	1	18766	1	1017.888	bos	loofhout	61 - 80 jaar	homogeen
