versie	schaal	periode	year_min	year_max	type_resultaat	habitattype	sbzh	habitatsubtype	criterium	indicator	belang	n_obs	parameter	mean	llci_0.95	ulci_0.95	klasse
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	bosconstantie	zb	103	aandeel_gunstig	93.03	86.26	97.03	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	bosconstantie	zb	103	verschil_aandeel_gunstig_rel	0.16	-8.47	9.6	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	bosconstantie	zb	103	verschil_aandeel_gunstig_abs	0.06	-8	8.43	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	horizontale structuur - groeiklassen	b	103	aandeel_gunstig	99.15	96.1	99.97	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	horizontale structuur - groeiklassen	b	103	verschil_aandeel_gunstig_rel	1.51	-2.28	6.42	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	horizontale structuur - groeiklassen	b	103	verschil_aandeel_gunstig_abs	1.44	-2.26	6.02	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	minimum structuurareaal	zb	103	aandeel_gunstig	34.36	25.13	44.81	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	minimum structuurareaal	zb	103	verschil_aandeel_gunstig_rel	2.34	-32.71	51.24	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	minimum structuurareaal	zb	103	verschil_aandeel_gunstig_abs	0.06	-13.36	14.44	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	verticale structuur	b	103	aandeel_gunstig	86.77	78.19	92.64	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	verticale structuur	b	103	verschil_aandeel_gunstig_rel	9.79	-4.61	26.79	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Structuur	verticale structuur	b	103	verschil_aandeel_gunstig_abs	7.51	-3.9	18.82	8
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de boom- en struiklaag	b	103	aandeel_gunstig	52.96	42.75	63.26	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de boom- en struiklaag	b	103	verschil_aandeel_gunstig_rel	-3.54	-26.72	25.29	9
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de boom- en struiklaag	b	103	verschil_aandeel_gunstig_abs	-2.43	-16.4	12.29	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de kruidlaag	b	103	aandeel_gunstig	1.66	0.24	5.54	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de kruidlaag	b	103	verschil_aandeel_gunstig_rel	94.02	-89.1	866.02	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de kruidlaag	b	103	verschil_aandeel_gunstig_abs	-0.01	-4.63	4.21	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Verstoring	invasieve exoten van de boom- en struiklaag	b	103	aandeel_gunstig	61.73	51.22	71.17	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Verstoring	invasieve exoten van de boom- en struiklaag	b	103	verschil_aandeel_gunstig_rel	1.89	-19.77	27.81	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Verstoring	invasieve exoten van de boom- en struiklaag	b	103	verschil_aandeel_gunstig_abs	0.69	-13.4	14.91	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Verstoring	invasieve exoten van de kruidlaag	zb	103	aandeel_gunstig	98.84	95.24	99.91	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Verstoring	invasieve exoten van de kruidlaag	zb	103	verschil_aandeel_gunstig_rel	-1.06	-4.76	-0.08	5
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Verstoring	invasieve exoten van de kruidlaag	zb	103	verschil_aandeel_gunstig_abs	-1.08	-4.76	-0.08	5
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Verstoring	verruiging	zb	103	aandeel_gunstig	61.82	51.08	71.55	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Verstoring	verruiging	zb	103	verschil_aandeel_gunstig_rel	7.92	-16.9	35.76	8
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9120	Binnen & Buiten	NA	Verstoring	verruiging	zb	103	verschil_aandeel_gunstig_abs	4.06	-10.82	17.45	8
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	aandeel dood hout	b	18	aandeel_gunstig	51.66	25.1	77.39	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	aandeel dood hout	b	18	verschil_aandeel_gunstig_rel	34.22	-50.65	192.12	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	aandeel dood hout	b	18	verschil_aandeel_gunstig_abs	8.96	-29.41	42.67	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	bosconstantie	zb	18	aandeel_gunstig	91.94	69.64	99.26	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	bosconstantie	zb	18	verschil_aandeel_gunstig_rel	1.25	-25.48	32.23	9
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	bosconstantie	zb	18	verschil_aandeel_gunstig_abs	0.04	-25.04	22.54	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	horizontale structuur - groeiklassen	b	18	aandeel_gunstig	87.63	62.07	98.05	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	horizontale structuur - groeiklassen	b	18	verschil_aandeel_gunstig_rel	-2.15	-37.93	-1.79	6
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	horizontale structuur - groeiklassen	b	18	verschil_aandeel_gunstig_abs	-12.11	-37.93	-1.79	6
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	minimum structuurareaal	zb	18	aandeel_gunstig	35.98	14.83	62.84	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	minimum structuurareaal	zb	18	verschil_aandeel_gunstig_rel	14.3	-64.46	187.39	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	minimum structuurareaal	zb	18	verschil_aandeel_gunstig_abs	-0.53	-33.32	35.82	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	verticale structuur	b	18	aandeel_gunstig	99.85	100	100	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	verticale structuur	b	18	verschil_aandeel_gunstig_rel	5.24	0.12	29.85	3
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Structuur	verticale structuur	b	18	verschil_aandeel_gunstig_abs	4.36	0.12	22.99	2
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Vegetatie	sleutelsoorten van de boom- en struiklaag	b	18	aandeel_gunstig	44.94	20.96	72.71	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Vegetatie	sleutelsoorten van de boom- en struiklaag	b	18	verschil_aandeel_gunstig_rel	-9.82	-63.9	90.48	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Vegetatie	sleutelsoorten van de boom- en struiklaag	b	18	verschil_aandeel_gunstig_abs	-8.29	-43.15	28.49	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Vegetatie	sleutelsoorten van de kruidlaag	b	18	aandeel_gunstig	8.98	1	33.14	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Vegetatie	sleutelsoorten van de kruidlaag	b	18	verschil_aandeel_gunstig_rel	111.27	-91.8	1027.96	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Vegetatie	sleutelsoorten van de kruidlaag	b	18	verschil_aandeel_gunstig_abs	-0.13	-25.28	26.02	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Verstoring	invasieve exoten van de boom- en struiklaag	b	18	aandeel_gunstig	95.59	78.1	99.85	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Verstoring	invasieve exoten van de boom- en struiklaag	b	18	verschil_aandeel_gunstig_rel	6.43	-16.52	44.71	8
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Verstoring	invasieve exoten van de boom- en struiklaag	b	18	verschil_aandeel_gunstig_abs	4.48	-14.97	30.59	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Verstoring	invasieve exoten van de kruidlaag	zb	18	aandeel_gunstig	99.87	100	100	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Verstoring	invasieve exoten van de kruidlaag	zb	18	verschil_aandeel_gunstig_rel	6.13	0.18	37.87	2
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Verstoring	invasieve exoten van de kruidlaag	zb	18	verschil_aandeel_gunstig_abs	4.8	0.18	27.47	2
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Verstoring	verruiging	zb	18	aandeel_gunstig	40.39	17.12	67.02	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Verstoring	verruiging	zb	18	verschil_aandeel_gunstig_rel	15.39	-62.81	159.99	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9130	Binnen & Buiten	9130_end	Verstoring	verruiging	zb	18	verschil_aandeel_gunstig_abs	0.59	-36.57	34.41	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	aandeel dood hout	b	24	aandeel_gunstig	61.52	38.05	82.02	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	aandeel dood hout	b	24	verschil_aandeel_gunstig_rel	33.4	-33.25	137.93	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	aandeel dood hout	b	24	verschil_aandeel_gunstig_abs	12.32	-21.58	42.52	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	bosconstantie	zb	24	aandeel_gunstig	86.82	67.89	96.94	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	bosconstantie	zb	24	verschil_aandeel_gunstig_rel	0.25	-25.74	34.59	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	bosconstantie	zb	24	verschil_aandeel_gunstig_abs	-0.68	-23.84	22.7	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	horizontale structuur - groeiklassen	b	24	aandeel_gunstig	99.82	99.99	100	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	horizontale structuur - groeiklassen	b	24	verschil_aandeel_gunstig_rel	4.74	-0.01	0	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	horizontale structuur - groeiklassen	b	24	verschil_aandeel_gunstig_abs	-0.02	-0.01	0	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	minimum structuurareaal	zb	24	aandeel_gunstig	37.98	17.66	61.8	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	minimum structuurareaal	zb	24	verschil_aandeel_gunstig_rel	9.88	-56.71	148.55	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	minimum structuurareaal	zb	24	verschil_aandeel_gunstig_abs	-0.17	-30.08	30.67	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	verticale structuur	b	24	aandeel_gunstig	90.74	70.37	98.51	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	verticale structuur	b	24	verschil_aandeel_gunstig_rel	0.99	-24.85	27.48	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Structuur	verticale structuur	b	24	verschil_aandeel_gunstig_abs	0.24	-24.32	20	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de boom- en struiklaag	b	24	aandeel_gunstig	58.23	33.78	78.49	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de boom- en struiklaag	b	24	verschil_aandeel_gunstig_rel	-2.73	-48.38	64.77	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de boom- en struiklaag	b	24	verschil_aandeel_gunstig_abs	-3.85	-34.51	27.5	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de kruidlaag	b	24	aandeel_gunstig	17.55	4.96	39.04	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de kruidlaag	b	24	verschil_aandeel_gunstig_rel	34.35	-76.98	353.89	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Vegetatie	sleutelsoorten van de kruidlaag	b	24	verschil_aandeel_gunstig_abs	0.39	-25.44	26.32	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Verstoring	invasieve exoten van de boom- en struiklaag	b	24	aandeel_gunstig	88.1	68.43	97.55	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Verstoring	invasieve exoten van de boom- en struiklaag	b	24	verschil_aandeel_gunstig_rel	8.93	-19.63	48.88	8
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Verstoring	invasieve exoten van de boom- en struiklaag	b	24	verschil_aandeel_gunstig_abs	6.04	-17.12	29.85	10
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Verstoring	invasieve exoten van de kruidlaag	zb	24	aandeel_gunstig	99.93	100	100	NA
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Verstoring	invasieve exoten van de kruidlaag	zb	24	verschil_aandeel_gunstig_rel	-0.04	0	0	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Verstoring	invasieve exoten van de kruidlaag	zb	24	verschil_aandeel_gunstig_abs	-0.04	0	0	4
Versie 3	Vlaanderen	c_2	2019	2023	Habitattype	9160	Binnen & Buiten	NA	Verstoring	verruiging	zb	24	aandeel_gunstig	40.07	19.47	63.45	NA
