tree_species_id	name_nl	tarief	tree_species_group	a	b	c	d	e	f	g	formule_type
19	60	2	13	-0.034716	0.0013586	-1.3402e-05	-5.698e-08	0.00016516	0	3.8818e-06	1
20	52	2	1	-0.02149	0.00095069	-4.3068e-06	-7.0329e-08	-0.00074299	0	3.7969e-06	1
21	70	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
22	46	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
23	82	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
24	24	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
25	29	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
26	5	2	4	-0.002311	-0.00037474	1.5103e-05	-2.5175e-08	0.00033282	0	3.1943e-06	1
27	56	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
28	94	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
29	116	3	14	-4.608923	3.005989	-1.3209	1.605266	5.410272	0	0	2
30	41	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
31	78	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
32	114	2	4	-0.002311	-0.00037474	1.5103e-05	-2.5175e-08	0.00033282	0	3.1943e-06	1
33	64	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
34	62	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
35	89	2	4	-0.002311	-0.00037474	1.5103e-05	-2.5175e-08	0.00033282	0	3.1943e-06	1
36	58	4	11	0.1645	-0.005612	2.91e-05	0	-0.00725	0.00025	2.3e-06	3
37	3	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
38	23	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
39	106	3	14	-4.608923	3.005989	-1.3209	1.605266	5.410272	0	0	2
40	51	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
41	54	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
42	95	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
43	31	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
50	61	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
51	34	2	10	-0.039836	0.0015505	-6.1835e-06	4.8022e-08	7.3997e-05	0	2.9607e-06	1
52	15	1	5	-0.002846	0	-2.2785e-07	0	-0.00024768	0	3.9082e-06	1
53	110	2	10	-0.039836	0.0015505	-6.1835e-06	4.8022e-08	7.3997e-05	0	2.9607e-06	1
54	53	2	12	-0.03088	0.0014885	-4.9257e-06	-1.2313e-07	-0.0011638	0	4.1134e-06	1
55	17	2	6	-0.019911	0.00059559	1.2901e-05	-1.8587e-07	0.00071591	0	3.9892e-06	1
56	21	2	9	-0.010929	0.0013945	-9.5965e-06	-2.5164e-07	-0.0027922	0	4.8985e-06	1
57	69	2	6	-0.019911	0.00059559	1.2901e-05	-1.8587e-07	0.00071591	0	3.9892e-06	1
58	84	2	9	-0.010929	0.0013945	-9.5965e-06	-2.5164e-07	-0.0027922	0	4.8985e-06	1
59	16	2	10	-0.039836	0.0015505	-6.1835e-06	4.8022e-08	7.3997e-05	0	2.9607e-06	1
60	81	2	9	-0.010929	0.0013945	-9.5965e-06	-2.5164e-07	-0.0027922	0	4.8985e-06	1
61	111	2	9	-0.010929	0.0013945	-9.5965e-06	-2.5164e-07	-0.0027922	0	4.8985e-06	1
62	93	2	10	-0.039836	0.0015505	-6.1835e-06	4.8022e-08	7.3997e-05	0	2.9607e-06	1
63	77	2	9	-0.010929	0.0013945	-9.5965e-06	-2.5164e-07	-0.0027922	0	4.8985e-06	1
64	14	2	9	-0.010929	0.0013945	-9.5965e-06	-2.5164e-07	-0.0027922	0	4.8985e-06	1
65	57	2	9	-0.010929	0.0013945	-9.5965e-06	-2.5164e-07	-0.0027922	0	4.8985e-06	1
90	8	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
100	2	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
101	11	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
102	107	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
103	18	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
104	19	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
105	20	2	12	-0.03088	0.0014885	-4.9257e-06	-1.2313e-07	-0.0011638	0	4.1134e-06	1
106	22	2	13	-0.034716	0.0013586	-1.3402e-05	-5.698e-08	0.00016516	0	3.8818e-06	1
107	25	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
108	26	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
109	30	2	13	-0.034716	0.0013586	-1.3402e-05	-5.698e-08	0.00016516	0	3.8818e-06	1
110	32	3	14	-4.608923	3.005989	-1.3209	1.605266	5.410272	0	0	2
111	33	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
112	38	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
113	40	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
114	43	2	12	-0.03088	0.0014885	-4.9257e-06	-1.2313e-07	-0.0011638	0	4.1134e-06	1
115	44	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
116	45	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
117	47	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
118	48	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
119	49	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
120	50	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
121	59	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
122	6	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
123	7	2	9	-0.010929	0.0013945	-9.5965e-06	-2.5164e-07	-0.0027922	0	4.8985e-06	1
124	68	3	14	-4.608923	3.005989	-1.3209	1.605266	5.410272	0	0	2
125	71	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
126	72	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
127	73	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
128	74	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
129	75	2	13	-0.034716	0.0013586	-1.3402e-05	-5.698e-08	0.00016516	0	3.8818e-06	1
130	79	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
131	80	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
132	85	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
133	86	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
134	87	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
135	88	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
136	90	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
137	92	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
138	96	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
139	98	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
140	99	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
141	100	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
142	103	2	1	-0.02149	0.00095069	-4.3068e-06	-7.0329e-08	-0.00074299	0	3.7969e-06	1
143	104	3	14	-4.608923	3.005989	-1.3209	1.605266	5.410272	0	0	2
145	108	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
146	109	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
147	113	2	1	-0.02149	0.00095069	-4.3068e-06	-7.0329e-08	-0.00074299	0	3.7969e-06	1
148	117	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
149	42	4	11	0.1645	-0.005612	2.91e-05	0	-0.00725	0.00025	2.3e-06	3
154	39	2	9	-0.010929	0.0013945	-9.5965e-06	-2.5164e-07	-0.0027922	0	4.8985e-06	1
273	66	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
321	76	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
400	13	2	2	-0.011392	-0.0001001	2.829e-05	-1.8695e-07	-0.00059573	0	3.0811e-06	1
1470	36	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
1676	63	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
1735	65	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
20000	1	2	7	-0.039083	0.0019935	-1.6148e-05	-6.4188e-09	-0.00098341	0	3.8373e-06	1
