tree_species_id	name_nl	tarief_id	tree_species_group	a	b	c	d	tarief
142	106	2	1	0.011189	-0.0023212	0.00010179	-5.0084e-08	2
143	107	5	14	-0.040364	0.00017945	7.6857e-05	7.3601e-08	3
145	111	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
146	112	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
147	116	2	1	0.011189	-0.0023212	0.00010179	-5.0084e-08	2
148	120	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
149	44	1	11	0.019546	-0.0029588	0.0001107	-3.7076e-08	2
154	41	11	9	0.032253	-0.0040132	0.00013221	-1.8894e-08	2
273	69	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
321	79	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
400	13	4	2	0.0071727	-0.0022222	0.00010536	-1.0867e-07	2
1000	14	NA	NA	NA	NA	NA	NA	NA
1470	38	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
1676	66	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
1735	68	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
2000	18	NA	NA	NA	NA	NA	NA	NA
20000	1	7	7	-0.040364	0.00017945	7.6857e-05	7.3601e-08	2
